"State","Jan","Apr","Jul","Oct"
"Alabama",7000,7500,8500,8000
"Arizona",35000,33000,40000,36000
"Arkansas",13000,13500,23000,23000
"California",1440000,1040000,730000,750000
"Colorado",3500,12000,29000,24000
"Connecticut",3900,3000,3700,3200
"Florida",305000,210000,164000,220000
"Georgia",104000,114000,108000,110000
"Hawaii",10500,13500,14500,13000
"Idaho",81000,62000,80000,121000
"Illinois",6000,9500,14000,14000
"Indiana",9000,8000,15000,11500
"Iowa",12500,12500,29000,35000
"Kansas",4600,6000,9000,8500
"Kentucky",7500,7500,10000,8500
"Louisiana",51000,44000,50000,55000
"Maine",3100,4600,6000,4700
"Maryland",7500,8000,7000,7500
"Massachusetts",2900,4100,7500,4500
"Michigan",16500,58000,89000,67000
"Minnesota",28000,71000,133000,104000
"Mississippi",34000,89000,23000,31000
"Missouri",12000,11500,14000,13500
"Montana",8500,36000,140000,116000
"Nebraska",10000,29000,67000,72000
"New Jersey",6000,8500,18500,8000
"New Mexico",7000,6500,6500,6000
"New York",27000,24000,44000,45000
"North Carolina",24000,19500,24000,22000
"North Dakota",57000,121000,460000,230000
"Ohio",18000,17500,23000,19000
"Oklahoma",9500,25000,19500,5000
"Oregon",77000,82000,68000,1e+05
"Pennsylvania",14000,15500,25000,22000
"South Carolina",17000,17500,12000,10000
"South Dakota",50000,1e+05,295000,194000
"Tennessee",9500,7500,10000,8500
"Texas",191000,305000,76000,125000
"Utah",6000,24000,31000,28000
"Vermont",5500,6000,6000,6500
"Virginia",8000,7500,8000,7500
"Washington",52000,105000,84000,87000
"West Virginia",4700,4700,7000,7000
"Wisconsin",16500,25000,60000,48000
"Wyoming",5500,12000,29000,24000
"Delaware",682,1720,2436,2272
"Nevada",682,1720,2436,2272
"District of Columbia",682,1720,2436,2272
"New Hampshire",682,1720,2436,2272
"Rhode Island",682,1720,2436,2272
